Name, Price, Source
Satco S7289 - 11 Watt - A-Shape CFL - 40 W Equal - 5000K Full Spectrum - 82 CRI - 12 Month Warranty,5.38,http://www.1000bulbs.com/product/31778/SATCO-S7289.html
Satco S7287 - 11 Watt - A-Shape CFL - 40 W Equal - 2700K Warm White - 80 CRI - 15 Month Warranty1 review,5.65,http://www.1000bulbs.com/product/62915/SATCO-S7287.html
Satco S7288 - 11 Watt - A-Shape CFL - 40 W Equal - 4100K Full Spectrum - 82 CRI - 12 Month Warranty,5.14,http://www.1000bulbs.com/product/31777/SATCO-S7288.html
