Name, Price, Source
14 Watt - CFL - 60 W Equal - 5000K Full Spectrum - 80 CRI - 64 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/50K11 reviews,2.17,http://www.1000bulbs.com/product/7662/FC14-FEIISB50.html
TCP 801014-27 - 14 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg.  - 82 CRI - 64 Lumens per Watt - 12 Month Warranty,2.39,http://www.1000bulbs.com/product/6754/FC14-801014.html
TCP 801014-41 - 14 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. - 20 Deg. - 82 CRI - 57 Lumens per Watt - 12 Month Warranty2 reviews,2.59,http://www.1000bulbs.com/product/6758/FC14-80101441.html
TCP 801014-35 - 14 Watt - CFL - 60 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 64 Lumens per Watt - 12 Month Warranty,2.75,http://www.1000bulbs.com/product/7661/FC14-80101435.html
14 Watt - T2 CFL - 60W Equal - 2700K Warm White - 80 CRI - 63 Lumens per Watt - 12 Month Warranty - Energy Miser FE-llSB-14W/278 reviews,2.34,http://www.1000bulbs.com/product/54642/FC14-FEIISB27.html
14 Watt - CFL - 60 W Equal - 4100K Cool White - 80 CRI - 64 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/41K 1 review,3.19,http://www.1000bulbs.com/product/1563/FC14-FEIISB41K.html
14 Watt - R20 CFL - 40 W Equal - 2700K Warm White - 80 CRI - 34 Lumens per Watt - 15 Month Warranty - Energy Miser FE-R20-14W/27K2 reviews,5.73,http://www.1000bulbs.com/product/1641/FC14-FER2027K.html
Halco 45738 - 14 Watt - A-Shape CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 850 Lumens per Watt - 24 Month Warranty1 review,5.77,http://www.1000bulbs.com/product/54447/HALCO-45738.html
SYLVANIA 29468 - 14 Watt - A-Shape CFL - 60 W Equal - 3000K Warm White - 82 CRI - 57 Lumens per Watt - 12 Month Warranty,6.23,http://www.1000bulbs.com/product/6229/FC14-29468.html
(3 Pack) TCP 8010143 - 14 Watt - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 800 Series Phosphors - CFL - 12 Month Warranty1 review,2.31,http://www.1000bulbs.com/product/23285/FC14-8010143.html
14 Watt - CFL - 60 W Equal - 6500K Full Spectrum - 80 CRI - 60 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/654 reviews,2.58,http://www.1000bulbs.com/product/60068/FC14-FEIISB65.html
