Category, Price, Wattage, Name, Source
ENERGY STAR CFL Bulbs  - 13-15 W,4.15,13,Satco S8208 - 13 Watt - T2 CFL - GU24 - 60 W Equal - 4100K Cool White - 80 CRI - 800 Lumens,http://www.1000bulbs.com/product/86272/SATCO-S8208.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.06,13,TCP 48913-41 - 13 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,http://www.1000bulbs.com/product/6752/FC13-MS41.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.06,13,TCP 4T213 - 13 Watt - T2 CFL - 60 W Equal - 2700K Warm White  - Min. Start Temp. - 20 Deg. - 82 CRI - 63 Lumens per Watt - 24 Month Warranty1 review,http://www.1000bulbs.com/product/7652/FC13-4T213.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.22,13,TCP 48913-27 - 13 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,http://www.1000bulbs.com/product/6749/FC13-MS27.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.22,13,TCP 48913-51 - 13 Watt - CFL - 60 W Equal - 5100K Full Spectrum - Min. Start Temp - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,http://www.1000bulbs.com/product/6753/FC13-MS51.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.48,13,TCP 48913-35 - 13 Watt - CFL - 60 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty1 review,http://www.1000bulbs.com/product/6750/FC13-MS35.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.78,13,SYLVANIA 29409 - 13 Watt - CFL - 60 W Equal - 2700K Warm White - 82 CRI - 62 Lumens per Watt - 12 Month Warranty1 review,http://www.1000bulbs.com/product/6225/FC13-29409.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.28,13,13 Watt - T2 CFL - 60 W Equal - 2700K Warm White - 80 CRI - 63 Lumens per Watt - 15 Month Warranty -  GCP 062 ,http://www.1000bulbs.com/product/2708/FC13-MS27OD.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.76,13,13 Watt - CFL - 60 W Equal - 4100K Cool White - 80 CRI - 63 Lumens per Watt - 15 Month Warranty - GCP 63,http://www.1000bulbs.com/product/2710/FC13-MS41OD.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.17,14,14 Watt - CFL - 60 W Equal - 5000K Full Spectrum - 80 CRI - 64 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/50K11 reviews,http://www.1000bulbs.com/product/7662/FC14-FEIISB50.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.39,14,TCP 801014-27 - 14 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg.  - 82 CRI - 64 Lumens per Watt - 12 Month Warranty,http://www.1000bulbs.com/product/6754/FC14-801014.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.59,14,TCP 801014-41 - 14 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. - 20 Deg. - 82 CRI - 57 Lumens per Watt - 12 Month Warranty2 reviews,http://www.1000bulbs.com/product/6758/FC14-80101441.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.75,14,TCP 801014-35 - 14 Watt - CFL - 60 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 64 Lumens per Watt - 12 Month Warranty,http://www.1000bulbs.com/product/7661/FC14-80101435.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.34,14,14 Watt - T2 CFL - 60W Equal - 2700K Warm White - 80 CRI - 63 Lumens per Watt - 12 Month Warranty - Energy Miser FE-llSB-14W/278 reviews,http://www.1000bulbs.com/product/54642/FC14-FEIISB27.html
ENERGY STAR CFL Bulbs  - 13-15 W,3.19,14,14 Watt - CFL - 60 W Equal - 4100K Cool White - 80 CRI - 64 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/41K 1 review,http://www.1000bulbs.com/product/1563/FC14-FEIISB41K.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.73,14,14 Watt - R20 CFL - 40 W Equal - 2700K Warm White - 80 CRI - 34 Lumens per Watt - 15 Month Warranty - Energy Miser FE-R20-14W/27K2 reviews,http://www.1000bulbs.com/product/1641/FC14-FER2027K.html
ENERGY STAR CFL Bulbs  - 13-15 W,5.77,14,Halco 45738 - 14 Watt - A-Shape CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 850 Lumens per Watt - 24 Month Warranty1 review,http://www.1000bulbs.com/product/54447/HALCO-45738.html
ENERGY STAR CFL Bulbs  - 13-15 W,6.23,14,SYLVANIA 29468 - 14 Watt - A-Shape CFL - 60 W Equal - 3000K Warm White - 82 CRI - 57 Lumens per Watt - 12 Month Warranty,http://www.1000bulbs.com/product/6229/FC14-29468.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.31,14,(3 Pack) TCP 8010143 - 14 Watt - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 800 Series Phosphors - CFL - 12 Month Warranty1 review,http://www.1000bulbs.com/product/23285/FC14-8010143.html
ENERGY STAR CFL Bulbs  - 13-15 W,2.58,14,14 Watt - CFL - 60 W Equal - 6500K Full Spectrum - 80 CRI - 60 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-14W/654 reviews,http://www.1000bulbs.com/product/60068/FC14-FEIISB65.html
ENERGY STAR CFL Bulbs  - 13-15 W,3.07,15,Litetronics Neolite NL-15427 - 15 Watt - T2 CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. 5 Deg. F - 82 CRI - 67 Lumens per Watt - 12 Month Warranty2 reviews,http://www.1000bulbs.com/product/3648/FC15-NL15127.html
ENERGY STAR CFL Bulbs  - 13-15 W,3.92,15,GE 15831 - 15 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. 5 Deg. F - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,http://www.1000bulbs.com/product/2226/FC15-15831.html
ENERGY STAR CFL Bulbs  - 13-15 W,4.05,15,GE 25183 - 15 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. 5 Deg. F - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,http://www.1000bulbs.com/product/2227/FC15-25183.html
ENERGY STAR CFL Bulbs  - 18-20 W,3.86,18,Litetronics L-18C27 - 18 Watt - 75 W Equal - 2700K Warm White - CFL - GU24 Base,http://www.1000bulbs.com/product/3482/FC18-GU2427T3.html
