Name, Price, Source
TCP 801019-27 - 19 Watt - CFL - 75 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,3.38,http://www.1000bulbs.com/product/6771/FC19-801019.html
TCP 801019-35 - 19 Watt - CFL - 75 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,3.94,http://www.1000bulbs.com/product/7669/FC19-80101935.html
19 Watt - T2 CFL - 75W Equal - 2700K Warm White - 80 CRI - 63 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-19W/27K,4.12,http://www.1000bulbs.com/product/1581/FC19-FEIISB27K.html
19 Watt - T2 CFL - 75 W Equal - 5000K Full Spectrum - 80 CRI - 63 Lumens per Watt - 15 Month Warranty - Energy Miser FE-IISB-19W/50K ,4.12,http://www.1000bulbs.com/product/7670/FC19-FEIISB50.html
19 Watt - CFL - 75 W Equal - 4100K Cool White - 80 CRI - 63 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-19W/41K,4.12,http://www.1000bulbs.com/product/7821/FC19-FEIISB41.html
(3 Pack) TCP 8010193 - 19 Watt - 75 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 800 Series Phosphors - CFL - 12 Month Warranty,3.1,http://www.1000bulbs.com/product/6772/FC19-8010193.html
