Name, Price, Source
9 Watt - T2 CFL - 40 W Equal - 5000K Full Spectrum - 80 CRI - 57 Lumens per Watt - 15 Month Warranty - GCP 0612 reviews,2.13,http://www.1000bulbs.com/product/2738/FC09-MS50OD.html
9 Watt - CFL - 40 W Equal - 2700K Warm White - 80 CRI - 58 Lumens per Watt - 15 Month Warranty - GCP 059,2.59,http://www.1000bulbs.com/product/2740/FC09-MS27OD.html
TCP 801009-27 - 9 Watt - CFL - 40 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 60 Lumens per Watt - 12 Month Warranty,2.75,http://www.1000bulbs.com/product/6836/FC09-801009.html
9 Watt - CFL - 40 W Equal - 2700K Warm White - 80 CRI - 58 Lumens per Watt - 12 Month Warranty - Energy Miser FE-IISB-9W5 reviews,3.19,http://www.1000bulbs.com/product/1613/FC09-FEIISB09W2.html
Bulbrite 512009 - 9 Watt - A-Shape CFL - 40 W Equal - 2700K Warm White - 82 CRI - 55 Lumens per Watt - 24 Month Warranty1 review,4.75,http://www.1000bulbs.com/product/53796/FC09-A30BB.html
TCP 48909-51 - 9 Watt - CFL - 40 W Equal - 5100K Full Spectrum - Min. Start Temp. - 20 Deg. - 82 CRI - 61 Lumens per Watt - 24 Month Warranty,5.96,http://www.1000bulbs.com/product/6839/FC09-MS51.html
Satco S7286 - 9 Watt - A-Shape CFL - 40 W Equal - 5000K Full Spectrum - 82 CRI - 15 Month Warranty,5.42,http://www.1000bulbs.com/product/31775/SATCO-S7286.html
Satco S7284 - 9 Watt - A-Shape CFL - 40 W Equal - 2700K Warm White - CRI 80 - 50 Lumens per Watt - 12 Month Warranty,5.42,http://www.1000bulbs.com/product/62913/SATCO-S7284.html
9 Watt - T2 CFL - 40 W Equal - 4100K Cool White - 80 CRI - 58 Lumens per Watt - 15 Month Warranty - GCP 0601 review,2.59,http://www.1000bulbs.com/product/2739/FC09-MS41OD.html
Satco S7285 - 9 Watt - A-Shape CFL - 40 W Equal - 4100K Cool White - 82 CRI - 15 Month Warranty,5.42,http://www.1000bulbs.com/product/31774/SATCO-S7285.html
