Name, Price, Source
13 Watt - CFL - 60 W Equal - 5000K Full Spectrum - 80 CRI - 63 Lumens per Watt - 15 Month Warranty - GCP 64,2.61,http://www.1000bulbs.com/product/2712/FC13-MS50OD.html
Litetronics Neolite NL-13427 - 13 Watt - T2 CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. 5 Deg. F - 82 CRI - 63 Lumens per Watt - 12 Month Warranty1 review,2.71,http://www.1000bulbs.com/product/3649/FC13-NL13127.html
13 Watt - 60 W Equal - Full Spectrum 5000K - CFL - Candelabra Base - 15 Month Warranty - GCP 172 10 reviews,3.12,http://www.1000bulbs.com/product/8252/FC13-SMSC50OD.html
13 Watt - CFL - 60 W Equal - 4100K Cool White - 80 CRI - 63 Lumens per Watt - 15 Month Warranty - GCP 171 2 reviews,3.14,http://www.1000bulbs.com/product/8251/FC13-SMSC41OD.html
13 Watt - 60 W Equal - 2700K Warm White - CFL - Candelabra Base - 15 Month Warranty - GCP 165 3 reviews,3.4,http://www.1000bulbs.com/product/8317/FC13-SMSC27OD.html
Litetronics L-13C27 - 13 Watt - 60 W Equal - 2700K Warm White - CFL - GU24 Base3 reviews,3.73,http://www.1000bulbs.com/product/3483/FC13-GU2427T3.html
13 Watt - 60 W Equal - 3500K Halogen White - CFL - GU24 Base - GCP 0881 review,3.87,http://www.1000bulbs.com/product/64215/FC13-GU2435OD.html
TCP 33113Q - 13 Watt - 60 W Equal - 2700K Warm White - CFL - GU24 Base,4.03,http://www.1000bulbs.com/product/53367/FC13-GU2427.html
TCP 33113SP30K - 13 Watt - 60 W Equal - 3000K Warm White - CFL - GU24 Base3 reviews,4.4,http://www.1000bulbs.com/product/2826/FC13-GU2430K.html
Satco S8208 - 13 Watt - T2 CFL - GU24 - 60 W Equal - 4100K Cool White - 80 CRI - 800 Lumens,4.15,http://www.1000bulbs.com/product/86272/SATCO-S8208.html
TCP 48913-41 - 13 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,5.06,http://www.1000bulbs.com/product/6752/FC13-MS41.html
TCP 4T213 - 13 Watt - T2 CFL - 60 W Equal - 2700K Warm White  - Min. Start Temp. - 20 Deg. - 82 CRI - 63 Lumens per Watt - 24 Month Warranty1 review,5.06,http://www.1000bulbs.com/product/7652/FC13-4T213.html
TCP 48913-27 - 13 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,5.22,http://www.1000bulbs.com/product/6749/FC13-MS27.html
TCP 48913-51 - 13 Watt - CFL - 60 W Equal - 5100K Full Spectrum - Min. Start Temp - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty,5.22,http://www.1000bulbs.com/product/6753/FC13-MS51.html
TCP 48913-35 - 13 Watt - CFL - 60 W Equal - 3500K Halogen White - Min. Start Temp. - 20 Deg. - 82 CRI - 71 Lumens per Watt - 24 Month Warranty1 review,5.48,http://www.1000bulbs.com/product/6750/FC13-MS35.html
SYLVANIA 29409 - 13 Watt - CFL - 60 W Equal - 2700K Warm White - 82 CRI - 62 Lumens per Watt - 12 Month Warranty1 review,5.78,http://www.1000bulbs.com/product/6225/FC13-29409.html
13 Watt - T2 CFL - 60 W Equal - 2700K Warm White - 80 CRI - 63 Lumens per Watt - 15 Month Warranty -  GCP 062 ,2.28,http://www.1000bulbs.com/product/2708/FC13-MS27OD.html
13 Watt - CFL - 60 W Equal - 4100K Cool White - 80 CRI - 63 Lumens per Watt - 15 Month Warranty - GCP 63,2.76,http://www.1000bulbs.com/product/2710/FC13-MS41OD.html
