Name, Price, Source
Litetronics L-18C27 - 18 Watt - 75 W Equal - 2700K Warm White - CFL - GU24 Base,3.86,http://www.1000bulbs.com/product/3482/FC18-GU2427T3.html
18 Watt - CFL - 75 W Equal - 5000K Full Spectrum - 80 CRI - 67 Lumens per Watt - 15 Month Warranty - GCP 067,4.05,http://www.1000bulbs.com/product/2717/FC18-MS50OD.html
18 Watt - T2 CFL - 75 W Equal - 4100K Cool White - 80 CRI - 67 Lumens per Watt - 15 Month Warranty - GCP 066,4.24,http://www.1000bulbs.com/product/2718/FC18-MS41OD.html
18 Watt - CFL - 75 W Equal - 2700K Warm White - Min. Start Temp. 0 Deg. F - 80 CRI - 61 Lumens per Watt - 15 Month Warranty - GCP 065,4.24,http://www.1000bulbs.com/product/2719/FC18-MS27OD.html
18 Watt - 75 W Equal - 2700K Warm White - CFL - GU24 Base - GCP 191,4.55,http://www.1000bulbs.com/product/64220/FC18-GU2427T2OD.html
Bulbrite 509748 - 18 Watt - 75 W Equal - 2700K Warm White - CFL - GU24 Base,6.3,http://www.1000bulbs.com/product/578/FC18-GU2427B.html
Satco S8205 - 18 Watt - 75 W Equal - 2700K Warm White - CFL - GU24 Base,6.04,http://www.1000bulbs.com/product/5405/FC18-S8205.html
TCP 48918-41 - 18 Watt - CFL - 75 W Equal - 4100K Cool White - Min. Start Temp. - 20 Deg. - 82 CRI - 72 Lumens per Watt - 24 Month Warranty1 review,6.22,http://www.1000bulbs.com/product/6767/FC18-MS41.html
TCP 48918-65 - 18 Watt - CFL - 75 W Equal - 6500K Full Spectrum Daylight - Min. Start Temp. - 20 Deg. - 82 CRI - 72 Lumens per Watt - 24 Month Warranty,6.52,http://www.1000bulbs.com/product/6765/FC18-MS65.html
