Name, Price, Source
Litetronics Neolite NL-15427 - 15 Watt - T2 CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. 5 Deg. F - 82 CRI - 67 Lumens per Watt - 12 Month Warranty2 reviews,3.07,http://www.1000bulbs.com/product/3648/FC15-NL15127.html
GE 15831 - 15 Watt - CFL - 60 W Equal - 2700K Warm White - Min. Start Temp. 5 Deg. F - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,3.92,http://www.1000bulbs.com/product/2226/FC15-15831.html
GE 25183 - 15 Watt - CFL - 60 W Equal - 4100K Cool White - Min. Start Temp. 5 Deg. F - 82 CRI - 63 Lumens per Watt - 12 Month Warranty,4.05,http://www.1000bulbs.com/product/2227/FC15-25183.html
