Category, Price, Energy Star, Name, Source
ENERGY STAR Television,209.98,true,Seiki - 32" Class (31-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-1080p-60hz-hdtv/3055278.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219086971795&skuId=3055278&st=categoryid$abcat0101001&cp=1&lp=18
ENERGY STAR Television,209.99,true,Sansui - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-28-1-2-diag--led-720p-60hz-hdtv/2266216.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219070766530&skuId=2266216&st=categoryid$abcat0101001&cp=1&lp=19
ENERGY STAR Television,209.99,true,Magnavox - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-28-1-2-diag--led-720p-60hz-hdtv/8912247.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218944452922&skuId=8912247&st=categoryid$abcat0101001&cp=1&lp=20
ENERGY STAR Television,219.99,true,Sceptre - 32" Class (31-1/2" Diag.) - LED - 1080p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--led-1080p-60hz-hdtv/2797123.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219078629564&skuId=2797123&st=categoryid$abcat0101001&cp=1&lp=21
ENERGY STAR Television,220.18,true,Sansui - 29" Class (28-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/29-class-28-1-2-diag--led-720p-60hz-hdtv/1305321036.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1305321036&skuId=1305321036&st=categoryid$abcat0101001&cp=1&lp=23#tab=buyingOptions
ENERGY STAR Television,224.99,false,Sansui - Accu - 28" Class (27-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/accu-28-class-27-1-2-diag--led-720p-60hz-hdtv/5818038.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219165476801&skuId=5818038&st=categoryid$abcat0101001&cp=1&lp=24
ENERGY STAR Television,226.09,true,Haier - 32" Class - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/32-class-led-720p-60hz-hdtv/1305223231.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=mp1305223231&skuId=1305223231&st=categoryid$abcat0101001&cp=1&lp=25#tab=buyingOptions
ENERGY STAR Television,229.99,false,Coby - 32" Class (31-1/2" Diag.) - LCD - 1080p - 120Hz - HDTV,http://www.bestbuy.com/site/32-class-31-1-2-diag--lcd-1080p-120hz-hdtv/4854655.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1218552484834&skuId=4854655&st=categoryid$abcat0101001&cp=1&lp=27
ENERGY STAR Television,229.99,false,Sharp - AQUOS - 32" Class (31-1/2" Diag.) - LED - 720p - 60Hz - HDTV,http://www.bestbuy.com/site/aquos-32-class-31-1-2-diag--led-720p-60hz-hdtv/4382009.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219098063761&skuId=4382009&st=categoryid$abcat0101001&cp=1&lp=28
ENERGY STAR Television,229.99,false,VIZIO - E-Series - 28" Class (27-1/2" Diag.) - LED - 60Hz - 720p - Smart - HDTV,http://www.bestbuy.com/site/e-series-28-class-27-1-2-diag--led-60hz-720p-smart-hdtv/3729109.p;jsessionid=23AED02978DED42AB9EF48B8354DF2AB.bbolsp-app04-194?id=1219093276207&skuId=3729109&st=categoryid$abcat0101001&cp=1&lp=29
